2019-04-09 17:01:04.4410 | Query No. 21 | FM1T096      | Read Time: 00:00:01.2747365 | Write Time: 00:00:00.0675174
2019-04-09 17:01:11.0075 | Sending email notification to District: 02 was FailedDueToBusinessRuleViolation
2019-04-10 11:36:15.8677 | Query No. 6  | Contact info | Read Time: 00:00:00.1831593 | Write Time: 00:00:00.0607418
2019-04-10 11:36:16.1196 | Query No. 7  | QCP Prod Info| Read Time: 00:00:00.0968838 | Write Time: 00:00:00.1175901
2019-04-10 11:36:16.3534 | Query No. 8  | Agg. Products| Read Time: 00:00:00.1512557 | Write Time: 00:00:00.0810721
2019-04-10 11:36:16.5059 | Query No. 9  | Mine-Terminal| Read Time: 00:00:00.0816133 | Write Time: 00:00:00.0700902
2019-04-10 11:36:22.6326 | Query No. 10 | Sample info  | Read Time: 00:00:06.1246596 | Write Time: 00:00:00.0700902
2019-04-10 11:36:23.8194 | Query No. 11 | FM1T011      | Read Time: 00:00:01.1186802 | Write Time: 00:00:00.0667825
2019-04-10 11:36:28.5968 | Query No. 13 | T27AggGrad   | Read Time: 00:00:04.6358108 | Write Time: 00:00:00.1393840
2019-04-10 11:36:31.1526 | Query No. 15 | FM1T084FASG  | Read Time: 00:00:02.4997504 | Write Time: 00:00:00.0545304
2019-04-10 11:36:40.2820 | Query No. 18 | FM1T085CASG  | Read Time: 00:00:09.0709250 | Write Time: 00:00:00.0576506
2019-04-10 11:36:42.6435 | Query No. 21 | FM1T096      | Read Time: 00:00:02.3023465 | Write Time: 00:00:00.0543217
2019-04-10 11:54:57.4908 | Query No. 6  | Contact info | Read Time: 00:00:00.5400081 | Write Time: 00:00:00.0638853
2019-04-10 11:54:57.8458 | Query No. 7  | QCP Prod Info| Read Time: 00:00:00.2241097 | Write Time: 00:00:00.1150885
2019-04-10 11:54:58.0756 | Query No. 8  | Agg. Products| Read Time: 00:00:00.1426932 | Write Time: 00:00:00.0853374
2019-04-10 11:54:58.2056 | Query No. 9  | Mine-Terminal| Read Time: 00:00:00.0655745 | Write Time: 00:00:00.0610314
2019-04-10 11:55:03.1250 | Query No. 10 | Sample info  | Read Time: 00:00:04.9161311 | Write Time: 00:00:00.0610314
2019-04-10 11:55:08.6515 | Query No. 11 | FM1T011      | Read Time: 00:00:05.4589353 | Write Time: 00:00:00.0662961
2019-04-10 11:55:11.9694 | Query No. 13 | T27AggGrad   | Read Time: 00:00:03.1992873 | Write Time: 00:00:00.1171923
2019-04-10 11:55:12.7267 | Query No. 15 | FM1T084FASG  | Read Time: 00:00:00.6962644 | Write Time: 00:00:00.0564774
2019-04-10 11:55:16.6486 | Query No. 18 | FM1T085CASG  | Read Time: 00:00:03.8646791 | Write Time: 00:00:00.0553546
2019-04-10 11:55:18.4511 | Query No. 21 | FM1T096      | Read Time: 00:00:01.7442080 | Write Time: 00:00:00.0557727
2019-04-10 15:20:05.1778 | Query No. 6  | Contact info | Read Time: 00:00:00.1108312 | Write Time: 00:00:00.0542919
2019-04-10 15:20:05.4282 | Query No. 7  | QCP Prod Info| Read Time: 00:00:00.1279611 | Write Time: 00:00:00.1048687
2019-04-10 15:20:05.8545 | Query No. 8  | Agg. Products| Read Time: 00:00:00.1326945 | Write Time: 00:00:00.2919519
2019-04-10 15:20:05.9915 | Query No. 9  | Mine-Terminal| Read Time: 00:00:00.0690635 | Write Time: 00:00:00.0661990
2019-04-10 15:20:08.4675 | Query No. 10 | Sample info  | Read Time: 00:00:02.4744341 | Write Time: 00:00:00.0661990
2019-04-10 15:20:11.2143 | Query No. 11 | FM1T011      | Read Time: 00:00:02.6816131 | Write Time: 00:00:00.0634966
2019-04-10 15:20:14.3649 | Query No. 13 | T27AggGrad   | Read Time: 00:00:03.0217304 | Write Time: 00:00:00.1275113
2019-04-10 15:20:15.0937 | Query No. 15 | FM1T084FASG  | Read Time: 00:00:00.6723477 | Write Time: 00:00:00.0543877
2019-04-10 15:20:18.1610 | Query No. 18 | FM1T085CASG  | Read Time: 00:00:03.0092948 | Write Time: 00:00:00.0560989
2019-04-10 15:20:19.8484 | Query No. 21 | FM1T096      | Read Time: 00:00:01.6316244 | Write Time: 00:00:00.0532552
2019-04-10 15:43:33.3006 | Query No. 6  | Contact info | Read Time: 00:00:00.1116268 | Write Time: 00:00:00.0530052
2019-04-10 15:43:33.5540 | Query No. 7  | QCP Prod Info| Read Time: 00:00:00.1330310 | Write Time: 00:00:00.1020359
2019-04-10 15:43:33.7729 | Query No. 8  | Agg. Products| Read Time: 00:00:00.1317098 | Write Time: 00:00:00.0816126
2019-04-10 15:43:33.9072 | Query No. 9  | Mine-Terminal| Read Time: 00:00:00.0648299 | Write Time: 00:00:00.0679174
2019-04-10 15:43:36.3042 | Query No. 10 | Sample info  | Read Time: 00:00:02.3957597 | Write Time: 00:00:00.0679174
2019-04-10 15:43:38.9383 | Query No. 11 | FM1T011      | Read Time: 00:00:02.5638591 | Write Time: 00:00:00.0654815
2019-04-10 15:43:41.7886 | Query No. 13 | T27AggGrad   | Read Time: 00:00:02.7349785 | Write Time: 00:00:00.1143617
2019-04-10 15:43:42.4518 | Query No. 15 | FM1T084FASG  | Read Time: 00:00:00.6079983 | Write Time: 00:00:00.0534941
2019-04-10 15:43:45.3441 | Query No. 18 | FM1T085CASG  | Read Time: 00:00:02.8349511 | Write Time: 00:00:00.0562846
2019-04-10 15:43:47.0107 | Query No. 21 | FM1T096      | Read Time: 00:00:01.6081264 | Write Time: 00:00:00.0565770
2019-04-10 15:51:00.9813 | Query No. 6  | Contact info | Read Time: 00:00:00.1092792 | Write Time: 00:00:00.0575302
2019-04-10 15:51:01.1965 | Query No. 7  | QCP Prod Info| Read Time: 00:00:00.0931158 | Write Time: 00:00:00.1036106
2019-04-10 15:51:01.4226 | Query No. 8  | Agg. Products| Read Time: 00:00:00.1379019 | Write Time: 00:00:00.0818319
2019-04-10 15:51:01.5547 | Query No. 9  | Mine-Terminal| Read Time: 00:00:00.0647388 | Write Time: 00:00:00.0656989
2019-04-10 15:51:04.0202 | Query No. 10 | Sample info  | Read Time: 00:00:02.4638874 | Write Time: 00:00:00.0656989
2019-04-10 15:51:07.5768 | Query No. 11 | FM1T011      | Read Time: 00:00:03.4925623 | Write Time: 00:00:00.0624438
2019-04-10 15:51:10.4823 | Query No. 13 | T27AggGrad   | Read Time: 00:00:02.7936244 | Write Time: 00:00:00.1082286
2019-04-10 15:51:11.1366 | Query No. 15 | FM1T084FASG  | Read Time: 00:00:00.5988785 | Write Time: 00:00:00.0536785
2019-04-10 15:51:14.3508 | Query No. 18 | FM1T085CASG  | Read Time: 00:00:03.1548784 | Write Time: 00:00:00.0563959
2019-04-10 15:51:16.1055 | Query No. 21 | FM1T096      | Read Time: 00:00:01.6921384 | Write Time: 00:00:00.0579168
2019-04-10 16:12:04.4769 | Query No. 6  | Contact info | Read Time: 00:00:00.1254082 | Write Time: 00:00:00.0556209
2019-04-10 16:12:04.6869 | Query No. 7  | QCP Prod Info| Read Time: 00:00:00.0886439 | Write Time: 00:00:00.1040507
2019-04-10 16:12:04.8989 | Query No. 8  | Agg. Products| Read Time: 00:00:00.1336372 | Write Time: 00:00:00.0772537
